date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:21	879660/879660	---MCZ	200	added ('OK')	application/x-javascript	etag:%22cb546bdf61ef340d109be2b63f148ec1:1725476566.591286%22	http://assets.adobedtm.com/f740f8a20d94/1dcfc2687ba3/launch-9227a8742d03.min.js	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/assets.adobedtm.com/f740f8a20d94/1dcfc2687ba3/launch-9227a8742d03.min.js	(from https://mysat.collegeboard.org/dashboard)
23:21:21	875248/875248	---MCZ	200	added ('OK')	text/css	etag:W/%22d703429f4130912e4171c2530eb62de4%22	https://mysat.collegeboard.org/assets/vendor-15a67fae.css	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/vendor-15a67fae.css	(from https://mysat.collegeboard.org/dashboard)
23:21:21	877637/877637	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a493b4f196d5dd47b946780782cbceda%22	https://atlas.collegeboard.org/widgets/release/2021-04-27/main.js	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/atlas.collegeboard.org/widgets/release/2021-04-27/main.js	(from https://mysat.collegeboard.org/dashboard)
23:21:21	1539521/1539521	---MCZ	200	added ('OK')	text/javascript	etag:W/%2289bbffe294f79afbd4f074ee1115f5f3%22	https://mysat.collegeboard.org/assets/vendor-86260973.js	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/vendor-86260973.js	(from https://mysat.collegeboard.org/dashboard)
23:21:22	852/852	---M--	200	added ('OK')	text/css	etag:%22dc8817a935c1b0ec6b1216d977c30602%22	https://mysat.collegeboard.org/assets/index-73161c50.css	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/index-73161c50.css	(from https://mysat.collegeboard.org/dashboard)
23:21:22	210615/210615	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Apr%202024%2018:42:30%20GMT	https://mysat.collegeboard.org/udsosHy--DykaGRstZ5NpNZyyxM/5SOQzLJVLcDLNuJu/SixucGdeLAQ/TVtQf/DlGczo	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/udsosHy--DykaGRstZ5NpNZyyxM/5SOQzLJVLcDLNuJu/SixucGdeLAQ/TVtQf/DlGczo	(from https://mysat.collegeboard.org/dashboard)
23:21:23	4246/4246	---M-Z	200	added ('OK')	text/html	etag:W/%22661c00b39930a6aba15f53f2446c237e%22	https://mysat.collegeboard.org/	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/index.html	(from http://assets.adobedtm.com/f740f8a20d94/1dcfc2687ba3/launch-9227a8742d03.min.js)
23:21:24	4246/4246	---M-Z	200	added ('OK')	text/html	etag:W/%22661c00b39930a6aba15f53f2446c237e%22	https://mysat.collegeboard.org/r.linkObject.href	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/r.linkObject.html	(from http://assets.adobedtm.com/f740f8a20d94/1dcfc2687ba3/launch-9227a8742d03.min.js)
23:21:24	4246/4246	---M-Z	200	added ('OK')	text/html	etag:W/%22661c00b39930a6aba15f53f2446c237e%22	https://mysat.collegeboard.org/;path=/	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/;path=/index.html	(from http://assets.adobedtm.com/f740f8a20d94/1dcfc2687ba3/launch-9227a8742d03.min.js)
23:21:24	4128/4128	---M-Z	200	added ('OK')	text/html	etag:W/%22661c00b39930a6aba15f53f2446c237e%22	https://mysat.collegeboard.org/helpers/getObjectProperty.js	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/helpers/getObjectProperty.html	(from http://assets.adobedtm.com/f740f8a20d94/1dcfc2687ba3/launch-9227a8742d03.min.js)
23:21:24	39480/39480	---M--	200	added ('OK')	font/woff	etag:%22b90a4040755342e76c8c583e1d4a6e97%22	https://mysat.collegeboard.org/assets/cb-icons-logo-45423bd1.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/cb-icons-logo-45423bd1.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:24	39404/39404	---M-Z	200	added ('OK')	font/ttf	etag:W/%2268d9fc68a5cca4ba98eab5229ed174f8%22	https://mysat.collegeboard.org/assets/cb-icons-logo-18ce49c7.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/cb-icons-logo-18ce49c7.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:25	64416/64416	---M--	200	added ('OK')	font/woff2	etag:%2246888f279ddb7baaf89772dec4c8e893%22	https://mysat.collegeboard.org/assets/Roboto-Thin-0c775bcd.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Thin-0c775bcd.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:25	91804/91804	---M--	200	added ('OK')	font/woff	etag:%22f09d9b5e8e8a5f3843c1f0fa161fa23c%22	https://mysat.collegeboard.org/assets/Roboto-Thin-f90b7bde.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Thin-f90b7bde.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:25	180928/180928	---MCZ	200	added ('OK')	font/ttf	etag:W/%220f5cc8c05acb7406a2724545d6f38320%22	https://mysat.collegeboard.org/assets/Roboto-Thin-8591717e.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Thin-8591717e.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:26	69664/69664	---M--	200	added ('OK')	font/woff2	etag:%22b417992bbd0c712b6a2bfacb1800944f%22	https://mysat.collegeboard.org/assets/Roboto-ThinItalic-17b0902f.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-ThinItalic-17b0902f.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:26	97880/97880	---M--	200	added ('OK')	font/woff	etag:%223ebe5873c57e5cd3bb164ae0585de453%22	https://mysat.collegeboard.org/assets/Roboto-ThinItalic-33986c0c.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-ThinItalic-33986c0c.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:26	185368/185368	---MCZ	200	added ('OK')	font/ttf	etag:W/%22d687b55c234963880ef732ab1eabbb01%22	https://mysat.collegeboard.org/assets/Roboto-ThinItalic-37f95394.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-ThinItalic-37f95394.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:27	65512/65512	---M--	200	added ('OK')	font/woff2	etag:%22ed4b08d2702fa26acc324ef1e89ae837%22	https://mysat.collegeboard.org/assets/Roboto-Light-b7647a0d.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Light-b7647a0d.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:27	93120/93120	---M--	200	added ('OK')	font/woff	etag:%2210ad0f861c0c5807734017c341940649%22	https://mysat.collegeboard.org/assets/Roboto-Light-499d4939.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Light-499d4939.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:28	179520/179520	---M-Z	200	added ('OK')	font/ttf	etag:W/%222382fa8a8afcdbe3124c840bd6ef7024%22	https://mysat.collegeboard.org/assets/Roboto-Light-4ecb801d.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Light-4ecb801d.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:28	72212/72212	---M--	200	added ('OK')	font/woff2	etag:%22d4f38edf39870bdfb4d640f63c8d5e5a%22	https://mysat.collegeboard.org/assets/Roboto-LightItalic-97bcbcd5.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-LightItalic-97bcbcd5.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:28	100716/100716	---M--	200	added ('OK')	font/woff	etag:%221d77cf804e1c37bcb4bd0b7fc2a70208%22	https://mysat.collegeboard.org/assets/Roboto-LightItalic-cac1d391.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-LightItalic-cac1d391.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:29	188444/188444	---M-Z	200	added ('OK')	font/ttf	etag:W/%22d63782f446a0cb341ae4ebf32c208343%22	https://mysat.collegeboard.org/assets/Roboto-LightItalic-dea3ab3d.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-LightItalic-dea3ab3d.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:29	65916/65916	---M--	200	added ('OK')	font/woff2	etag:%229feb0110b6dff9ee2b9ebd17f7a1aee6%22	https://mysat.collegeboard.org/assets/Roboto-Regular-8cef0863.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Regular-8cef0863.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:29	93388/93388	---M--	200	added ('OK')	font/woff	etag:%2294dac78eee406a8c8f0406b69b85ac2b%22	https://mysat.collegeboard.org/assets/Roboto-Regular-18ab5ae4.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Regular-18ab5ae4.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:30	180932/180932	---MCZ	200	added ('OK')	font/ttf	etag:W/%224312f1fbdcf4d54af4506dabdce08010%22	https://mysat.collegeboard.org/assets/Roboto-Regular-b122d9b1.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Regular-b122d9b1.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:30	71468/71468	---M--	200	added ('OK')	font/woff2	etag:%22ad4e08740474893c8f08df87268544ce%22	https://mysat.collegeboard.org/assets/Roboto-Italic-283ed402.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Italic-283ed402.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:30	99060/99060	---M--	200	added ('OK')	font/woff	etag:%22fd5970128586cba8e7ed994f134ec176%22	https://mysat.collegeboard.org/assets/Roboto-Italic-39317676.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Italic-39317676.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:31	182964/182964	---MCZ	200	added ('OK')	font/ttf	etag:W/%22b391d0e9dd86ead6604092b134e407bf%22	https://mysat.collegeboard.org/assets/Roboto-Italic-6ca867d9.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Italic-6ca867d9.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:31	66792/66792	---M--	200	added ('OK')	font/woff2	etag:%2250d01d3e6c994995bcaf829e63d53d1a%22	https://mysat.collegeboard.org/assets/Roboto-Medium-998b049e.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Medium-998b049e.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:31	94032/94032	---M--	200	added ('OK')	font/woff	etag:%229a3bf7acae14d9b5ed5a88458106b58b%22	https://mysat.collegeboard.org/assets/Roboto-Medium-e3aa2710.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Medium-e3aa2710.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:32	181256/181256	---MCZ	200	added ('OK')	font/ttf	etag:W/%22b2bcaa52d04bde9a494fd954ef7e7e7b%22	https://mysat.collegeboard.org/assets/Roboto-Medium-80f74baa.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Medium-80f74baa.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:33	72420/72420	---M--	200	added ('OK')	font/woff2	etag:%22c64fc9b45077a4437c583825662ee3e4%22	https://mysat.collegeboard.org/assets/Roboto-MediumItalic-5fb93e96.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-MediumItalic-5fb93e96.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:33	100656/100656	---M--	200	added ('OK')	font/woff	etag:%22cf9744aca2dc68046f03dacb46518dac%22	https://mysat.collegeboard.org/assets/Roboto-MediumItalic-95fb08d7.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-MediumItalic-95fb08d7.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:34	185944/185944	---M-Z	200	added ('OK')	font/ttf	etag:W/%22ebbeb79e6b0c7047a04879e32acc0aa7%22	https://mysat.collegeboard.org/assets/Roboto-MediumItalic-90d9c879.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-MediumItalic-90d9c879.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:34	65972/65972	---M--	200	added ('OK')	font/woff2	etag:%22f3a02e2578bee50e620e515912278bc9%22	https://mysat.collegeboard.org/assets/Roboto-Bold-4d7dd6e0.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Bold-4d7dd6e0.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:34	93700/93700	---M--	200	added ('OK')	font/woff	etag:%2208cb8f79715774f9a6285ee7db2919a3%22	https://mysat.collegeboard.org/assets/Roboto-Bold-8aa340f0.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Bold-8aa340f0.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:34	179812/179812	---M-Z	200	added ('OK')	font/ttf	etag:W/%2216d7bb99c6f81cacdd91cd92d8ddb545%22	https://mysat.collegeboard.org/assets/Roboto-Bold-c9dda83e.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Bold-c9dda83e.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:35	71276/71276	---M--	200	added ('OK')	font/woff2	etag:%22fb87f577cddc4fcce562196d62d86a7c%22	https://mysat.collegeboard.org/assets/Roboto-BoldItalic-5e3689b5.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-BoldItalic-5e3689b5.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:35	99360/99360	---M--	200	added ('OK')	font/woff	etag:%2265c7b0c96d644be47ca4a652b2d47972%22	https://mysat.collegeboard.org/assets/Roboto-BoldItalic-6a95e30f.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-BoldItalic-6a95e30f.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:36	184092/184092	---M-Z	200	added ('OK')	font/ttf	etag:W/%2241db5f5406168140f3bac715979f8f36%22	https://mysat.collegeboard.org/assets/Roboto-BoldItalic-45101237.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-BoldItalic-45101237.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:36	66148/66148	---M--	200	added ('OK')	font/woff2	etag:%2272f6fd218b59c42e804cb543cfc53598%22	https://mysat.collegeboard.org/assets/Roboto-Black-026d836b.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Black-026d836b.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:36	94016/94016	---M--	200	added ('OK')	font/woff	etag:%22fdd88b742a9f6304f05b21b86ba58d9a%22	https://mysat.collegeboard.org/assets/Roboto-Black-416c6393.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Black-416c6393.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:36	180652/180652	---MCZ	200	added ('OK')	font/ttf	etag:W/%22232725fa0697ac1e1a0a4a6816e0acb8%22	https://mysat.collegeboard.org/assets/Roboto-Black-a2efa0f2.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-Black-a2efa0f2.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:37	73112/73112	---M--	200	added ('OK')	font/woff2	etag:%2214f037f98c26498dca8f8b8f6d80ba15%22	https://mysat.collegeboard.org/assets/Roboto-BlackItalic-a07b129f.woff2	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-BlackItalic-a07b129f.woff2	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:37	101560/101560	---M--	200	added ('OK')	font/woff	etag:%22ac9a922232bb34219e80325fd9385afd%22	https://mysat.collegeboard.org/assets/Roboto-BlackItalic-43693011.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-BlackItalic-43693011.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:37	186608/186608	---MCZ	200	added ('OK')	font/ttf	etag:W/%222a09b4f57bc4094821b2bcad59cd112c%22	https://mysat.collegeboard.org/assets/Roboto-BlackItalic-7d9abc88.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/Roboto-BlackItalic-7d9abc88.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:38	15176/15176	---M--	200	added ('OK')	font/woff	etag:%22085c3d29da0bcb673f0b1e240738113d%22	https://mysat.collegeboard.org/assets/cb-glyphs-fccd88a2.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/cb-glyphs-fccd88a2.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:38	15100/15100	---M-Z	200	added ('OK')	font/ttf	etag:W/%2224930b37637f637df899042f3ebd5123%22	https://mysat.collegeboard.org/assets/cb-glyphs-59972bc4.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/cb-glyphs-59972bc4.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:38	25516/25516	---M--	200	added ('OK')	font/woff	etag:%2232949e5f3faa97f27e4236cd4c8e2638%22	https://mysat.collegeboard.org/assets/cb-glyphs-multi-fdc8603d.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/cb-glyphs-multi-fdc8603d.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:39	25440/25440	---M-Z	200	added ('OK')	font/ttf	etag:W/%224194dc485b5e476af3f46cb432f37407%22	https://mysat.collegeboard.org/assets/cb-glyphs-multi-3888e3a8.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/cb-glyphs-multi-3888e3a8.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:39	61600/61600	---M--	200	added ('OK')	font/woff	etag:%22bc3c88b8e9f77738a4755f35c51e68da%22	https://mysat.collegeboard.org/assets/cb-icons-4_5_43-42fd6bb4.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/cb-icons-4_5_43-42fd6bb4.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:39	61524/61524	---M-Z	200	added ('OK')	font/ttf	etag:W/%22c4747c42a574718265b2866b1733911b%22	https://mysat.collegeboard.org/assets/cb-icons-4_5_43-ea4c26cf.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/cb-icons-4_5_43-ea4c26cf.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:39	37140/37140	---M--	200	added ('OK')	font/woff	etag:%227e30e5cb77cab228bd8f28ba2ae2768c%22	https://mysat.collegeboard.org/assets/cb-icons-logo-569e6dbe.woff	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/cb-icons-logo-569e6dbe.woff	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:40	37064/37064	---M-Z	200	added ('OK')	font/ttf	etag:W/%22200a0d00fd499afd2648141f9f9b5bfc%22	https://mysat.collegeboard.org/assets/cb-icons-logo-f3b7f246.ttf	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/cb-icons-logo-f3b7f246.ttf	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:40	39506/39506	---M--	200	added ('OK')	image/png	etag:%22212c1d4662a6f6275520873921d4e5f6%22	https://mysat.collegeboard.org/assets/sprite-flags-cbf2a354.png	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/assets/sprite-flags-cbf2a354.png	(from https://mysat.collegeboard.org/assets/vendor-15a67fae.css)
23:21:41	4128/4128	---M-Z	200	added ('OK')	text/html	etag:W/%22661c00b39930a6aba15f53f2446c237e%22	https://mysat.collegeboard.org/;path=/favicon.ico	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/;path=/favicon.html	(from https://mysat.collegeboard.org/;path=/)
23:21:41	4128/4128	---M-Z	200	added ('OK')	text/html	etag:W/%22661c00b39930a6aba15f53f2446c237e%22	https://mysat.collegeboard.org/;path=/logo192.png	C:/Users/Ava/Desktop/SaveHere/SAT%20website%20copy%20attempt/SAT4/mysat.collegeboard.org/;path=/logo192.html	(from https://mysat.collegeboard.org/;path=/)
